name;age;sex;marital-status;occupation;coord
Tyler Baker;39;Male;Never-married;Adm-clerical;50.53124::4.83305
Christopher Hayes;50;Male;Married-civ-spouse;Exec-managerial;50.92089::3.10982
Justin Garcia;38;Male;Divorced;Handlers-cleaners;50.88636::4.69482
Alex Vang;53;Male;Married-civ-spouse;Handlers-cleaners;50.91770::4.85915
Sandra Ramirez;28;Female;Married-civ-spouse;Prof-specialty;50.93992::3.12936
Michelle Alexander;37;Female;Married-civ-spouse;Exec-managerial;50.50757::3.79129
Patricia Camacho;49;Female;Married-spouse-absent;Other-service;51.05049::4.76784
Tyler Oliver;52;Male;Married-civ-spouse;Exec-managerial;50.97991::3.74769
Sandra Carlson;31;Female;Never-married;Prof-specialty;51.03184::3.82750
James Williams;42;Male;Married-civ-spouse;Exec-managerial;50.83559::4.31672
Mark Nunez;37;Male;Married-civ-spouse;Exec-managerial;51.05416::3.71155
Javier Harris;30;Male;Married-civ-spouse;Prof-specialty;50.57386::4.89252
Christine Murphy;23;Female;Never-married;Adm-clerical;50.78309::3.04250
Michael James;32;Male;Never-married;Sales;51.16414::4.98075
Cameron Anderson;34;Male;Married-civ-spouse;Transport-moving;50.44997::5.42803
Bobby Thompson;25;Male;Never-married;Farming-fishing;50.96519::3.36085
Darren Green;32;Male;Never-married;Machine-op-inspct;51.32078::4.94825
John Cameron;38;Male;Married-civ-spouse;Sales;51.20519::3.19843
Amy Smith;43;Female;Divorced;Exec-managerial;51.20087::4.44768
Alexander Mcdonald;40;Male;Married-civ-spouse;Prof-specialty;50.98857::4.57868
Kathy Nelson;54;Female;Separated;Other-service;51.17763::4.83044
Matthew Ferrell;35;Male;Married-civ-spouse;Farming-fishing;51.16991::2.77471
David Lee;43;Male;Married-civ-spouse;Transport-moving;50.41030::4.27227
Monica Smith;59;Female;Divorced;Tech-support;50.87773::3.81848
Antonio Silva;56;Male;Married-civ-spouse;Tech-support;50.62585::5.67577
Douglas Phillips;19;Male;Never-married;Craft-repair;50.44170::4.43368
Peter Arnold;39;Male;Divorced;Exec-managerial;50.61150::5.55637
Shawn Flynn;49;Male;Married-civ-spouse;Craft-repair;50.43820::3.93757
James Harding;23;Male;Never-married;Protective-serv;50.80277::4.40051
Johnathan Carson;20;Male;Never-married;Sales;50.86376::4.52246
Patrick Rodriguez;45;Male;Divorced;Exec-managerial;50.74438::5.30219
Richard Ortiz;30;Male;Married-civ-spouse;Adm-clerical;50.73270::5.62477
Jeremy Wade;22;Male;Married-civ-spouse;Other-service;50.97588::3.41575
Matthew Deleon;48;Male;Never-married;Machine-op-inspct;50.72184::4.38478
Michael Delacruz;21;Male;Never-married;Machine-op-inspct;51.01078::4.22855
